Study Hours,Result
2.7,Fail
1.6,Fail
7.8,Pass
8.3,Pass
3.9,Fail
8.3,Pass
0.5,Fail
9.2,Pass
1.7,Fail
2.2,Fail
2.1,Fail
8.4,Pass
0.7,Fail
4.2,Fail
6.6,Pass
2.3,Fail
6.2,Pass
3.7,Pass
1.9,Fail
9.6,Pass
5.2,Pass
8.1,Pass
6.8,Pass
9,Pass
6,Pass
5.9,Pass
4.6,Fail
9.5,Pass
1.4,Fail
5.6,Pass
0.8,Fail
2,Fail
1.4,Fail
8.5,Pass
8.9,Pass
3.7,Fail
6.7,Pass
6.8,Pass
0.9,Fail
8.1,Pass
7.2,Pass
4,Fail
3,Fail
2.2,Fail
6.8,Pass
9.9,Pass
9,Pass
1.9,Fail
9.5,Pass
4.8,Fail
8.4,Pass
4,Fail
4.9,Fail
5.6,Pass
6.1,Pass
3.7,Fail
4.1,Fail
5.2,Pass
2.2,Fail
6.7,Pass
6,Pass
5.3,Pass
5.1,Pass
6.5,Pass
3.7,Fail
6.5,Pass
9.1,Pass
9.7,Pass
5.1,Pass
8.5,Pass
7.3,Pass
9.4,Pass
8.2,Pass
7,Pass
2.2,Fail
2.9,Fail
2.2,Fail
5.3,Pass
3.8,Fail
6.6,Pass
4.6,Fail
3.5,Fail
8.7,Pass
9.8,Pass
0.6,Fail
9.7,Pass
7.9,Pass
5.7,Pass
5.8,Pass
8.3,Pass
6.8,Pass
1.7,Fail
8.2,Pass
4.6,Fail
6.7,Pass
9.6,Pass
3.5,Fail
2.5,Fail
5.8,Pass
0.6,Fail
4.5,Fail
2.3,Fail
3.6,Fail
5.1,Pass
9.4,Pass
2.9,Fail
4,Fail
8.7,Pass
6.6,Pass
9.3,Pass
4.8,Pass
9.4,Pass
4.2,Fail
7.5,Pass
1.1,Fail
1.7,Fail
5.3,Pass
3.2,Fail
1.9,Fail
3.9,Fail
8.7,Pass
8.5,Pass
2.8,Fail
2.6,Fail
7.9,Pass
5.1,Pass
4.9,Fail
9.2,Pass
4.2,Fail
1.4,Fail
8.5,Pass
5.9,Pass
2.7,Fail
7.1,Pass
4.7,Fail
7.9,Pass
5.4,Fail
7.5,Pass
4.2,Fail
4.9,Fail
2.1,Fail
1.7,Fail
8.1,Pass
2,Fail
2.7,Fail
3.3,Fail
1,Fail
9.3,Pass
6.3,Fail
2,Fail
6.8,Pass
0.9,Fail
3.8,Fail
9.2,Pass
1.4,Fail
1,Fail
6.7,Pass
2,Fail
2.1,Fail
6,Pass
9.6,Pass
3.5,Fail
6.2,Pass
1.9,Fail
7.6,Pass
5.3,Fail
9.5,Pass
5.5,Pass
1.6,Fail
2.2,Pass
7.3,Pass
6.9,Pass
6.6,Pass
6.4,Pass
10,Pass
3,Fail
3,Fail
6.4,Pass
0.6,Fail
1.4,Fail
9.8,Pass
4.9,Fail
3.4,Fail
6.6,Pass
3.7,Fail
7.6,Pass
3.4,Fail
5.1,Pass
2.7,Fail
9.3,Pass
6,Pass
0.6,Fail
4.1,Fail
4.2,Fail
2.2,Fail
2.5,Fail
1.9,Fail
5.7,Pass
4.6,Fail
5.9,Pass
9.7,Pass
7.2,Pass
0.6,Fail
9.8,Pass
6.2,Pass
6.2,Pass
7.3,Pass
7.3,Pass
3.7,Fail
1,Pass
1.8,Fail
5.2,Pass
2,Fail
2.1,Fail
4.3,Fail
4.1,Fail
9.7,Pass
3.6,Fail
2.7,Fail
10,Pass
1.4,Fail
9.7,Pass
7.8,Pass
5.1,Pass
4.9,Fail
5.2,Fail
6.4,Pass
9.8,Pass
2.3,Pass
9.6,Pass
5.6,Pass
6.5,Pass
9.4,Pass
4.2,Fail
2.4,Fail
8.4,Pass
6.9,Pass
6.5,Pass
8.7,Pass
5.6,Pass
1.7,Fail
9.5,Pass
9.6,Pass
4.7,Pass
4,Fail
5.9,Pass
4.2,Fail
7.6,Pass
2.1,Fail
7.8,Pass
3.4,Fail
4.7,Fail
3.6,Fail
6,Pass
2.9,Fail
4,Fail
2,Fail
1.1,Fail
6.6,Pass
6.8,Pass
5.2,Pass
2.5,Fail
8.8,Pass
2.9,Fail
6,Pass
7.6,Pass
1.1,Fail
6.1,Pass
9,Pass
6.8,Pass
8.7,Pass
2.4,Fail
5.8,Pass
5.6,Pass
7.9,Pass
7.1,Pass
4.5,Fail
7.4,Pass
0.9,Fail
6.6,Pass
9.8,Pass
0.7,Pass
9.4,Pass
1.1,Fail
1.4,Fail
2.3,Fail
2.3,Fail
0.7,Fail
2.6,Fail
1.8,Fail
9.6,Pass
6,Pass
2.8,Fail
4.9,Fail
8.8,Pass
1.9,Fail
5.6,Pass
1.8,Fail
2.1,Fail
3,Fail
1.4,Fail
7,Pass
3.9,Fail
2.8,Fail
0.6,Fail
7.5,Pass
7.8,Pass
6.7,Pass
2.8,Fail
9.2,Pass
2.5,Fail
0.9,Fail
1,Fail
9.1,Pass
5.5,Pass
0.6,Fail
6.8,Pass
7.4,Pass
9.6,Pass
5.9,Pass
6,Pass
8.6,Pass
9.4,Pass
8.7,Pass
5.3,Pass
8.1,Pass
1.7,Fail
1.8,Fail
6.4,Pass
6.2,Pass
7.5,Pass
8.9,Pass
8.8,Pass
3.2,Fail
2.6,Fail
3.5,Fail
8.8,Pass
4.3,Fail
3.4,Fail
9.2,Pass
3.2,Fail
6.1,Pass
7.4,Pass
7,Pass
8.9,Pass
6.9,Pass
9.6,Pass
3.1,Fail
1.3,Fail
8.5,Pass
3.7,Fail
7,Pass
2.8,Fail
5.9,Pass
5.5,Pass
6.5,Pass
8.5,Pass
6.9,Pass
1.2,Fail
7,Pass
7,Pass
2.3,Fail
3.9,Fail
9.5,Pass
7.6,Fail
5.3,Pass
4.7,Pass
3.3,Fail
1,Fail
9.8,Pass
2.6,Fail
4,Fail
1.9,Fail
9,Pass
8.4,Pass
2.3,Fail
2.1,Fail
1.9,Fail
9.6,Pass
5.7,Pass
5.4,Pass
4.9,Fail
9.7,Pass
5.4,Pass
5.1,Pass
9.9,Pass
9,Pass
6.5,Pass
6,Pass
2.1,Fail
8,Pass
4.3,Fail
6.3,Pass
9,Pass
3.2,Fail
1.6,Fail
6.1,Pass
8.9,Pass
4,Fail
2.4,Fail
9.7,Pass
7.8,Pass
8.3,Pass
7.7,Pass
4.8,Pass
5.9,Pass
3.8,Fail
2.4,Fail
7.9,Pass
8.2,Pass
7.6,Pass
4.4,Fail
7.6,Pass
1.5,Fail
3,Fail
0.6,Fail
4.4,Fail
6.7,Pass
5.9,Pass
9.9,Pass
4.2,Fail
7.9,Pass
9.2,Pass
3.9,Fail
1,Fail
0.6,Fail
2.2,Fail
9.4,Pass
6.8,Pass
3,Fail
5.6,Pass
10,Pass
3.4,Fail
0.8,Fail
1.1,Fail
9.5,Pass
5.6,Pass
9.7,Pass
5.3,Pass
1.7,Fail
3.7,Fail
6.4,Pass
9,Pass
6,Pass
2.8,Fail
3.1,Fail
1,Fail
5.4,Pass
9,Pass
3.9,Fail
5.7,Pass
6.2,Pass
1.6,Fail
9.1,Pass
9.8,Pass
5.4,Pass
6.8,Pass
7.2,Pass
5.8,Pass
8.8,Pass
5.2,Pass
4.5,Fail
8.6,Pass
6.6,Pass
5.8,Pass
3.3,Fail
5.2,Pass
2.2,Fail
1.9,Fail
3.9,Fail
8,Pass
3.9,Fail
9.7,Pass
4.6,Fail
2.2,Fail
2.8,Fail
5.5,Pass
0.5,Fail
9.9,Pass
2.8,Fail
7.4,Pass
5,Pass
1,Fail
2.7,Fail
8.2,Pass
1.1,Fail
5.6,Fail
7.4,Pass
2,Fail
7.2,Pass
4.4,Fail
2.7,Fail
0.7,Fail
8.5,Pass
5.4,Pass
3.3,Fail
4.9,Fail
3.5,Fail
4.5,Fail
6.2,Pass
5.3,Pass
3.9,Fail
7.7,Pass
4.1,Fail
5.4,Pass
5.2,Pass
3.8,Fail
4.4,Fail
4.1,Fail
3.2,Fail
4,Fail
5.1,Pass
6.8,Pass
3.5,Fail
1.2,Fail
5.7,Pass
8.8,Pass
8.8,Pass
5,Pass
1.1,Fail
3.4,Fail
1.8,Fail
3.2,Fail
6.8,Pass
9,Pass
1.2,Fail
3.6,Fail
6.3,Pass
9.8,Pass
2.5,Fail
8.5,Pass
7.9,Pass
8.4,Pass
1,Fail
6.4,Pass
1,Fail
1.7,Fail
6.7,Pass
8.2,Pass
3.3,Pass
7,Pass
3.8,Fail
3.1,Fail
6,Pass
4.9,Pass
4.5,Fail
2.9,Fail
3.8,Fail
1.8,Fail
3.4,Fail
4.4,Fail
8.3,Pass
8.5,Pass
3.9,Fail
7.6,Pass
2.8,Fail
9.6,Pass
2.2,Fail
0.9,Fail
1.1,Fail
2.6,Fail
1.4,Fail
2.7,Fail
0.9,Fail
5.4,Pass
4.2,Fail
6.3,Pass
8.5,Pass
5,Pass
2.8,Fail
6.8,Pass
8.4,Pass
6.3,Pass
0.7,Fail
9.1,Pass
9.2,Pass
0.8,Fail
6.2,Pass
7,Pass
3.5,Fail
3,Fail
1.7,Fail
0.7,Fail
8.7,Fail
7.6,Pass
5.4,Fail
6.5,Pass
8.9,Pass
6.3,Pass
5.6,Pass
3.7,Fail
3.3,Fail
3.6,Fail
3.1,Fail
4.1,Fail
5.9,Pass
0.8,Fail
9.4,Pass
8.2,Pass
8,Pass
10,Pass
3.3,Fail
1.5,Fail
8.7,Pass
3.2,Fail
5,Fail
9.7,Pass
4.4,Fail
0.9,Fail
4.5,Fail
9.7,Pass
1.8,Fail
2.9,Fail
3.9,Pass
0.5,Fail
5.2,Pass
2.5,Fail
2.8,Fail
9.4,Pass
4.6,Fail
6.8,Pass
5.3,Pass
9.8,Pass
3.5,Fail
7.1,Pass
1.9,Fail
4.3,Fail
6.6,Pass
2.8,Fail
1.2,Fail
5.9,Pass
1.2,Fail
7.7,Pass
6,Pass
5.2,Pass
7.8,Pass
5,Fail
2.6,Fail
6.6,Pass
5.2,Fail
6.3,Pass
8.2,Pass
3.7,Fail
6.1,Pass
0.7,Fail
3.4,Fail
8.5,Pass
9.2,Pass
7.9,Pass
7.5,Pass
4.9,Fail
9.3,Pass
2.1,Fail
9,Pass
3.7,Fail
0.6,Fail
1.6,Fail
3.3,Fail
1.4,Fail
6.2,Pass
4.3,Fail
9.9,Pass
1.3,Fail
2.8,Fail
1.2,Fail
0.9,Fail
7.9,Pass
8.9,Pass
4,Fail
6.1,Pass
2.3,Fail
4.2,Fail
3.7,Fail
4,Fail
3.1,Fail
8,Pass
2,Fail
4.2,Fail
5.6,Pass
3.7,Fail
3.7,Fail
2.6,Fail
8.8,Pass
8.2,Pass
7.9,Pass
8.5,Pass
5.9,Pass
6.2,Pass
7.7,Pass
2.7,Fail
7.4,Pass
0.6,Fail
5.6,Pass
3.6,Fail
7.4,Pass
1,Fail
2.8,Fail
4.4,Fail
4.1,Fail
6,Pass
6.3,Pass
2.9,Fail
5.1,Fail
7.5,Pass
6.6,Pass
2.7,Fail
5,Pass
6.6,Pass
9.7,Pass
2.6,Fail
4.8,Pass
6.7,Pass
7.1,Pass
5.7,Pass
7.3,Pass
10,Pass
1.9,Fail
3.1,Fail
9.2,Pass
3.5,Fail
1.1,Fail
2.9,Pass
1.1,Fail
2.2,Fail
7.5,Pass
4.3,Fail
9.3,Pass
3.6,Fail
8,Pass
6.7,Pass
8.4,Pass
8,Pass
8.4,Pass
8.5,Pass
6.1,Pass
9.7,Pass
5.4,Pass
7.8,Pass
0.8,Fail
3.7,Fail
8,Pass
9.7,Pass
0.6,Fail
4.2,Fail
2.6,Fail
4.7,Fail
6.1,Pass
6.6,Pass
8,Pass
9.8,Fail
7.5,Pass
7.2,Pass
8.9,Fail
6.5,Pass
5.5,Pass
0.9,Fail
2.6,Fail
2,Fail
6.7,Pass
2.6,Fail
2.7,Fail
8.2,Pass
9.4,Pass
1,Fail
5.1,Fail
6.3,Pass
7.7,Pass
2.1,Fail
4.8,Fail
1.4,Fail
4,Fail
1.5,Fail
2.9,Fail
8.6,Pass
8.7,Fail
9.1,Pass
8.9,Pass
2,Fail
8,Pass
7.2,Pass
1.6,Fail
1.4,Fail
3.5,Fail
1.7,Fail
8,Pass
7.9,Pass
7.5,Pass
0.7,Fail
7.3,Pass
5.1,Fail
4.9,Fail
1.7,Fail
5.8,Pass
1.1,Fail
